fy,reference_file,sheet,row,cc,fx_rate,account,kind,scope,description,monthly_values,monthly_formulas,source_candidate_status,selection_l1_delta_vnd
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),44,1412000005,25390,5006016247,depreciation,fixed_assets,その 他 (Tn-2),"{""202504"": 1834681.0, ""202505"": 1834681.0, ""202506"": 1834681.0, ""202507"": 1834681.0, ""202508"": 1834681.0, ""202509"": 1834681.0, ""202510"": 1834681.0, ""202511"": 1834681.0, ""202512"": 1834681.0, ""202601"": 1834681.0, ""202602"": 1834681.0, ""202603"": 1834681.0}","{""202504"": ""1834681"", ""202505"": ""1834681"", ""202506"": ""1834681"", ""202507"": ""1834681"", ""202508"": ""1834681"", ""202509"": ""1834681"", ""202510"": ""1834681"", ""202511"": ""1834681"", ""202512"": ""1834681"", ""202601"": ""1834681"", ""202602"": ""1834681"", ""202603"": ""1834681""}",SELECTED_SOURCE_DERIVED_CANDIDATE,0
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),45,1412000005,25390,5006016244,depreciation,fixed_assets,Virgo生産用設備（新規追加）Nakagawa,"{""202504"": null, ""202505"": null, ""202506"": null, ""202507"": null, ""202508"": null, ""202509"": null, ""202510"": null, ""202511"": null, ""202512"": null, ""202601"": null, ""202602"": null, ""202603"": null}","{""202504"": """", ""202505"": """", ""202506"": """", ""202507"": """", ""202508"": """", ""202509"": """", ""202510"": """", ""202511"": """", ""202512"": """", ""202601"": """", ""202602"": """", ""202603"": """"}",NO_MONTHLY_VALUE,
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),46,1412000005,25390,5005036246,depreciation,fixed_assets,(Tháng n)  FIX ASSETS ( Mr Hajimoto),"{""202504"": 52912760.0, ""202505"": 52912760.0, ""202506"": 52912760.0, ""202507"": 57990760.0, ""202508"": 105800130.0, ""202509"": 105800130.0, ""202510"": 100315890.0, ""202511"": 84650260.0, ""202512"": 84650260.0, ""202601"": 52912760.0, ""202602"": 52912760.0, ""202603"": 52912760.0}","{""202504"": ""52912760"", ""202505"": ""52912760"", ""202506"": ""52912760"", ""202507"": ""57990760"", ""202508"": ""105800130"", ""202509"": ""105800130"", ""202510"": ""100315890"", ""202511"": ""84650260"", ""202512"": ""84650260"", ""202601"": ""52912760"", ""202602"": ""52912760"", ""202603"": ""52912760""}",EXCLUDED_MANUAL_OR_OTHER_LAYER,64
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),47,1412000005,25390,5005036246,depreciation,fixed_assets,(Tháng n-1) FIX ASSETS ( Mr Hajimoto),"{""202504"": 98682551.0, ""202505"": 151595311.0, ""202506"": 204508071.0, ""202507"": 257420831.0, ""202508"": 315411591.0, ""202509"": 421211721.0, ""202510"": 527011851.0, ""202511"": 627327741.0, ""202512"": 711978001.0, ""202601"": 796628261.0, ""202602"": 849541021.0, ""202603"": 902453781.0}","{""202504"": ""=+ROUND(3886.67*25390,0)"", ""202505"": ""=+F46+F47"", ""202506"": ""=+G46+G47"", ""202507"": ""=+H46+H47"", ""202508"": ""=+I46+I47"", ""202509"": ""=+J46+J47"", ""202510"": ""=+K46+K47"", ""202511"": ""=+L46+L47"", ""202512"": ""=+M46+M47"", ""202601"": ""=+N46+N47"", ""202602"": ""=+O46+O47"", ""202603"": ""=+P46+P47""}",EXCLUDED_MANUAL_OR_OTHER_LAYER,64
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),48,1412000005,25390,5005036246,depreciation,fixed_assets,(Tháng n-2) 金型償却費  (Ms Lan),"{""202504"": 7617682229.0, ""202505"": 7061811342.0, ""202506"": 6183880239.0, ""202507"": 4494252670.0, ""202508"": 2485063515.0, ""202509"": 2077509075.0, ""202510"": 2039952949.0, ""202511"": 1911944693.0, ""202512"": 1677001121.0, ""202601"": 1366277540.0, ""202602"": 1167943047.0, ""202603"": 1042757652.0}","{""202504"": ""7617682229"", ""202505"": ""7061811342"", ""202506"": ""6183880239"", ""202507"": ""4494252670"", ""202508"": ""2485063515"", ""202509"": ""2077509075"", ""202510"": ""2039952949"", ""202511"": ""1911944693"", ""202512"": ""1677001121"", ""202601"": ""1366277540"", ""202602"": ""1167943047"", ""202603"": ""1042757652""}",SELECTED_SOURCE_DERIVED_CANDIDATE,64
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),50,1412000005,25390,9114120007,interest,fixed_assets,機械装置金利,"{""202504"": 39918920.0, ""202505"": 34163007.0, ""202506"": 34163007.0, ""202507"": 34163007.0, ""202508"": 34163007.0, ""202509"": 34163007.0, ""202510"": 34163007.0, ""202511"": 34163007.0, ""202512"": 34163007.0, ""202601"": 34163007.0, ""202602"": 34163007.0, ""202603"": 34163007.0}","{""202504"": ""39918920"", ""202505"": ""34163007"", ""202506"": ""34163007"", ""202507"": ""34163007"", ""202508"": ""34163007"", ""202509"": ""34163007"", ""202510"": ""34163007"", ""202511"": ""34163007"", ""202512"": ""34163007"", ""202601"": ""34163007"", ""202602"": ""34163007"", ""202603"": ""34163007""}",SELECTED_SOURCE_DERIVED_CANDIDATE,396
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),51,1412000005,25390,9114120007,interest,fixed_assets,金型金利 (N-2),"{""202504"": 391623231.0, ""202505"": 122972403.0, ""202506"": 117702454.0, ""202507"": 102492829.0, ""202508"": 78382739.0, ""202509"": 72269588.0, ""202510"": 71593453.0, ""202511"": 68905159.0, ""202512"": 63266294.0, ""202601"": 54875915.0, ""202602"": 48925261.0, ""202603"": 44793800.0}","{""202504"": ""391623231"", ""202505"": ""122972403"", ""202506"": ""117702454"", ""202507"": ""102492829"", ""202508"": ""78382739"", ""202509"": ""72269588"", ""202510"": ""71593453"", ""202511"": ""68905159"", ""202512"": ""63266294"", ""202601"": ""54875915"", ""202602"": ""48925261"", ""202603"": ""44793800""}",SELECTED_SOURCE_DERIVED_CANDIDATE,396
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),52,1412000005,25390,9114120007,interest,fixed_assets,工具器具備品 金利,"{""202504"": 122011645.0, ""202505"": 80999178.0, ""202506"": 80999178.0, ""202507"": 80902442.0, ""202508"": 80843791.0, ""202509"": 80843791.0, ""202510"": 80715572.0, ""202511"": 80697545.0, ""202512"": 80697545.0, ""202601"": 80697545.0, ""202602"": 80697545.0, ""202603"": 79563120.0}","{""202504"": ""122011645"", ""202505"": ""80999178"", ""202506"": ""80999178"", ""202507"": ""80902442"", ""202508"": ""80843791"", ""202509"": ""80843791"", ""202510"": ""80715572"", ""202511"": ""80697545"", ""202512"": ""80697545"", ""202601"": ""80697545"", ""202602"": ""80697545"", ""202603"": ""79563120""}",SELECTED_SOURCE_DERIVED_CANDIDATE,396
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),53,1412000005,25390,9114120007,interest,fixed_assets,その他金利,"{""202504"": 220131.0, ""202505"": 154117.0, ""202506"": 154117.0, ""202507"": 154117.0, ""202508"": 154117.0, ""202509"": 154117.0, ""202510"": 154117.0, ""202511"": 154117.0, ""202512"": 154117.0, ""202601"": 154117.0, ""202602"": 154117.0, ""202603"": 154117.0}","{""202504"": ""220131"", ""202505"": ""154117"", ""202506"": ""154117"", ""202507"": ""154117"", ""202508"": ""154117"", ""202509"": ""154117"", ""202510"": ""154117"", ""202511"": ""154117"", ""202512"": ""154117"", ""202601"": ""154117"", ""202602"": ""154117"", ""202603"": ""154117""}",SELECTED_SOURCE_DERIVED_CANDIDATE,396
FY2026,reference_outputs\secondary\FY2026\02.KDTVN 機器製造2課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),54,1412000005,25390,9114120007,interest,fixed_assets,(Tháng n-1)金型金利　Mr Hajimoto ,"{""202504"": 7105144.0, ""202505"": 10914862.0, ""202506"": 14724581.0, ""202507"": 18534300.0, ""202508"": 22709635.0, ""202509"": 30327244.0, ""202510"": 37944853.0, ""202511"": 45167597.0, ""202512"": 51262416.0, ""202601"": 57357235.0, ""202602"": 61166954.0, ""202603"": 64976672.0}","{""202504"": ""=+ROUND(F47*24*0.003,0)"", ""202505"": ""=+ROUND(G47*24*0.003,0)"", ""202506"": ""=+ROUND(H47*24*0.003,0)"", ""202507"": ""=+ROUND(I47*24*0.003,0)"", ""202508"": ""=+ROUND(J47*24*0.003,0)"", ""202509"": ""=+ROUND(K47*24*0.003,0)"", ""202510"": ""=+ROUND(L47*24*0.003,0)"", ""202511"": ""=+ROUND(M47*24*0.003,0)"", ""202512"": ""=+ROUND(N47*24*0.003,0)"", ""202601"": ""=+ROUND(O47*24*0.003,0)"", ""202602"": ""=+ROUND(P47*24*0.003,0)"", ""202603"": ""=+ROUND(Q47*24*0.003,0)""}",EXCLUDED_MANUAL_OR_OTHER_LAYER,396
