cc_code,file,row,account_code,description,nonblank_months,formulas,values_vnd
1412000073,46.KDTVN 物流管理課_MP FY2027_各予定(Ver01).xlsx,64,5004086291,Chí phí phát sinh đổi đồng phục trong tháng,12,"[125000, 125000, 125000, 125000, 125000, 125000, 125000, 125000, 125000, 125000, 125000, 125000]","[125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0, 125000.0]"
1412000073,46.KDTVN 物流管理課_MP FY2027_各予定(Ver01).xlsx,72,5004086291,制服（夏） Đồng phục ngắn tay ( khong yusen ),0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000073,46.KDTVN 物流管理課_MP FY2027_各予定(Ver01).xlsx,73,5004086291,"制服（冬 Đồng phục dài tay ( t10 sẽ phát cho
 người chưa có từ  T4-T10)",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000073,46.KDTVN 物流管理課_MP FY2027_各予定(Ver01).xlsx,74,5004086291,制服ズボン Quần ( khong yusen ),0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000104,47.KDTVN 工程品質管理2課_MP FY2027_各予定(Ver01).xlsx,92,5004086291,"制服 ,靴, 帽子を交換する Đổi đồng phục",12,"[2500000, 2500000, 2500000, 2500000, 2500000, 2500000, 2500000, 2500000, 2500000, 2500000, 2500000, 2500000]","[2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0, 2500000.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,111,5004086291,新入社員　 制服上着(夏服)　       x2枚/人,12,"[0, 0, 0, 0, 990000, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 990000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,112,5004086291,新入社員　制服上着(冬服)　        x2枚/人,12,"[0, 0, 0, 0, 0, 0, 1050000, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1050000.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,113,5004086291,新入社員　 制服(ズボン)　 　x2枚/人,12,"[0, 0, 0, 0, 696000, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 696000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,183,5004086291,制服上着（夏服）,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,184,5004086291,制服上着（冬服）,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000057,49.KDTVN EI1課_MP FY2027_各予定(Ver01).xlsx,185,5004086291,制服ズボン,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,111,5004086291,新入社員　 制服上着(夏服)　       x2枚/人,12,"[0, 0, 0, 0, 1320000, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1320000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,112,5004086291,新入社員　制服上着(冬服)　        x2枚/人,12,"[0, 0, 0, 0, 0, 0, 1400000, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1400000.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,113,5004086291,新入社員　 制服(ズボン)　 　x2枚/人,12,"[0, 0, 0, 0, 928000, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 928000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,204,5004086291,制服上着（夏服）,12,"[330000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[330000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,205,5004086291,制服上着（冬服）,12,"[350000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[350000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,206,5004086291,制服ズボン,12,"[232000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[232000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,244,5004086291,制服(夏)　x2枚 ,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,245,5004086291,制服(ズボン)　x2枚,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000078,50.KDTVN ESD1課_MP FY2027_各予定(Ver01).xlsx,247,5004086291,制服(冬)　x2枚,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000081,52.KDTVN 機器製造３課_MP FY2027_各予定(Ver01).xlsx,102,5004086291,"制服 ,靴, 帽子が壊れた時に交換する。Đổi đồng phục",12,"[10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000]","[10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0]"
1412000081,52.KDTVN 機器製造３課_MP FY2027_各予定(Ver01).xlsx,122,5004086291,Đồng phục mới T4,0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000081,52.KDTVN 機器製造３課_MP FY2027_各予定(Ver01).xlsx,125,5004086291,"新人の 制服 (1月+2月: đông (666000), T5+6+7+8+9: hè(647000), T10+11+12+3+4: đông hè(932000)",12,"[0, 0, 0, 0, ""=128*713000"", 0, 0, 0, ""=50*1063000"", ""=99*733000"", ""=233*733000"", 0]","[0.0, 0.0, 0.0, 0.0, 91264000.0, 0.0, 0.0, 0.0, 53150000.0, 72567000.0, 170789000.0, 0.0]"
1412000083,53.KDTVN MD3課_MP FY2027_各予定(Ver01).xlsx,111,5004086291,新入社員　 制服上着(夏服)　       x2枚/人,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000083,53.KDTVN MD3課_MP FY2027_各予定(Ver01).xlsx,112,5004086291,新入社員　制服上着(冬服)　        x2枚/人,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
