cc_code,file,row,kind,category,account_code,description,reference_fx,formulas,values_vnd
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,49,interest,,9114120007,Lãi nhà,26273.0,"[5733820, 5629516, 5633982, 5572241, 5565147, 5566198, 5569351, 5567774, 5565672, 5563045, 5554900, 5565410]","[5733820.0, 5629516.0, 5633982.0, 5572241.0, 5565147.0, 5566198.0, 5569351.0, 5567774.0, 5565672.0, 5563045.0, 5554900.0, 5565410.0]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,50,interest,,9114120007,lãi đất 固定資産金利（土地）,26273.0,"[726974, 733542, 734068, 726186, 725135, 725398, 725660, 725398, 725135, 724872, 723821, 725135]","[726974.0, 733542.0, 734068.0, 726186.0, 725135.0, 725398.0, 725660.0, 725398.0, 725135.0, 724872.0, 723821.0, 725135.0]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,58,interest,,9114120007,lãi  máy tính người mới,26273.0,"[null, null, 94005, 94005, 94005, 94005, 94005, 94005, 94005, 94005, 94005, 94005]","[null, null, 94005.0, 94005.0, 94005.0, 94005.0, 94005.0, 94005.0, 94005.0, 94005.0, 94005.0, 94005.0]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,59,interest,,9114120007,lãi UV-UV 照度計金利,26273.0,"[147810, 147810, 147810, 147810, 147810, 147810, 147810, 147810, 147810, 147810, 147810, 147810]","[147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0, 147810.0]"
1412000069,43.KDTVN 生産技術2課_MP FY2027_各予定(Ver01).xlsx,60,interest,,9114120007,lãi Digital Torque Tester,26273.0,"[null, null, null, null, 133992, 133992, 133992, 133992, 133992, 133992, 133992, 133992]","[null, null, null, null, 133992.0, 133992.0, 133992.0, 133992.0, 133992.0, 133992.0, 133992.0, 133992.0]"
1412000070,44.KDTVN 第4資材課_MP FY2027_各予定(Ver01).xlsx,42,interest,,9114120007,固定資産金利（Interest） /建物 Building Interest,26273.0,"[2593408, 2448906, 2410810, 2404768, 2402666, 2371138, 2369299, 2368248, 2381122, 2379546, 2368774, 2381122]","[2593408.0, 2448906.0, 2410810.0, 2404768.0, 2402666.0, 2371138.0, 2369299.0, 2368248.0, 2381122.0, 2379546.0, 2368774.0, 2381122.0]"
1412000070,44.KDTVN 第4資材課_MP FY2027_各予定(Ver01).xlsx,43,interest,,9114120007,固定資産金利（Interest） /土地 Land Interest,26273.0,"[328938, 319217, 314225, 313437, 313174, 308970, 308708, 308708, 310284, 310021, 308708, 310284]","[328938.0, 319217.0, 314225.0, 313437.0, 313174.0, 308970.0, 308708.0, 308708.0, 310284.0, 310021.0, 308708.0, 310284.0]"
1412000072,45.KDTVN 製品管理課_MP FY2027_各予定(Ver01).xlsx,51,interest,,9114120007,Lãi suất khấu hao nhà xưởng,26273.0,"[614117451, 579735815, 579990137, 579671709, 579505138, 579480179, 579702185, 579573448, 579482280, 579350127, 578802598, 579451015]","[614117451.0, 579735815.0, 579990137.0, 579671709.0, 579505138.0, 579480179.0, 579702185.0, 579573448.0, 579482280.0, 579350127.0, 578802598.0, 579451015.0]"
1412000072,45.KDTVN 製品管理課_MP FY2027_各予定(Ver01).xlsx,52,interest,,9114120007,Lãi suất khấu hao đất,26273.0,"[77863977, 75544071, 75577175, 75535664, 75514120, 75510704, 75539867, 75523053, 75510967, 75493890, 75422427, 75507026]","[77863977.0, 75544071.0, 75577175.0, 75535664.0, 75514120.0, 75510704.0, 75539867.0, 75523053.0, 75510967.0, 75493890.0, 75422427.0, 75507026.0]"
1412000072,45.KDTVN 製品管理課_MP FY2027_各予定(Ver01).xlsx,64,interest,,9114120007,Lãi suất khấu hao xe Forklift Nhà C,26273.0,"[501814, 219116, 219116, 219116, 219116, 219116, 219116, 219116, 219116, 219116, 0, 0]","[501814.0, 219116.0, 219116.0, 219116.0, 219116.0, 219116.0, 219116.0, 219116.0, 219116.0, 219116.0, 0.0, 0.0]"
